id,name,email,signup_date,amount,category,activ
220001,Name_220001,user220001@example.com,2021-02-18,6501.36,C,True
220002,Name_220002,user220002@example.com,2024-02-21,5230.14,A,True
220003,Name_220003,user220003@example.com,2019-07-29,9751.93,E,True
220004,Name_220004,user220004@example.com,2021-12-15,36.16,D,True
220005,Name_220005,user220005@example.com,2021-09-23,5931.96,A,True
220006,Name_220006,user220006@example.com,2019-03-28,2467.36,B,True
220007,Name_220007,user220007@example.com,2018-11-29,9128.64,E,True
220008,Name_220008,user220008@example.com,2020-06-12,5527.19,D,True
220009,Name_220009,user220009@example.com,2018-11-06,1189.43,D,True
220010,Name_220010,user220010@example.com,2021-03-29,1106.42,E,True
220011,Name_220011,user220011@example.com,2019-11-20,6419.52,C,True
220012,Name_220012,user220012@example.com,2020-10-10,8789.8,C,False
220013,Name_220013,user220013@example.com,2019-07-18,8162.89,C,False
220014,Name_220014,user220014@example.com,2019-09-19,2440.78,D,True
220015,Name_220015,user220015@example.com,2024-08-03,4909.0,E,False
220016,Name_220016,user220016@example.com,2024-09-04,8349.82,A,True
220017,Name_220017,user220017@example.com,2024-03-05,3209.25,A,True
220018,Name_220018,user220018@example.com,2018-03-14,9281.59,C,True
220019,Name_220019,user220019@example.com,2022-08-21,809.77,C,False
220020,Name_220020,user220020@example.com,2024-01-07,4192.11,D,True
220021,Name_220021,user220021@example.com,2024-05-22,5716.54,B,True
220022,Name_220022,user220022@example.com,2023-01-25,6285.66,D,True
220023,Name_220023,user220023@example.com,2018-02-06,6251.24,D,True
220024,Name_220024,user220024@example.com,2018-06-04,5868.73,C,True
220025,Name_220025,user220025@example.com,2020-02-15,8543.09,A,True
220026,Name_220026,user220026@example.com,2022-04-18,9382.73,C,True
220027,Name_220027,user220027@example.com,2019-08-16,5201.96,E,True
220028,Name_220028,user220028@example.com,2021-10-31,7600.84,C,True
220029,Name_220029,user220029@example.com,2023-12-26,7461.48,C,False
220030,Name_220030,user220030@example.com,2022-05-13,9651.02,B,False
220031,Name_220031,user220031@example.com,2025-02-22,5410.04,B,True
220032,Name_220032,user220032@example.com,2024-07-16,2317.53,C,False
220033,Name_220033,user220033@example.com,2018-08-02,4406.85,C,True
220034,Name_220034,user220034@example.com,2023-02-05,6067.8,D,True
220035,Name_220035,user220035@example.com,2020-12-04,2903.02,B,True
220036,Name_220036,user220036@example.com,2025-04-03,5346.66,A,True
220037,Name_220037,user220037@example.com,2021-11-05,3987.76,C,True
220038,Name_220038,user220038@example.com,2018-06-05,8815.5,A,True
220039,Name_220039,user220039@example.com,2024-11-16,3586.8,E,True
220040,Name_220040,user220040@example.com,2025-06-25,3023.9,B,True
