id,name,email,signup_date,amount,category,activ
20001,Name_20001,user20001@example.com,2021-04-29,9552.63,E,True
20002,Name_20002,user20002@example.com,2019-03-06,7232.71,A,False
20003,Name_20003,user20003@example.com,2024-12-08,8529.96,B,True
20004,Name_20004,user20004@example.com,2020-12-07,3169.59,D,False
20005,Name_20005,user20005@example.com,2024-10-16,6341.96,B,True
20006,Name_20006,user20006@example.com,2020-06-17,4293.4,E,True
20007,Name_20007,user20007@example.com,2019-04-07,4962.2,C,False
20008,Name_20008,user20008@example.com,2022-01-04,1373.03,D,True
20009,Name_20009,user20009@example.com,2023-01-25,1128.83,E,True
20010,Name_20010,user20010@example.com,2018-06-29,8965.77,D,True
20011,Name_20011,user20011@example.com,2018-09-25,6263.05,B,True
20012,Name_20012,user20012@example.com,2021-09-15,1993.74,B,True
20013,Name_20013,user20013@example.com,2025-01-11,3304.64,E,True
20014,Name_20014,user20014@example.com,2019-01-31,2169.91,C,True
20015,Name_20015,user20015@example.com,2020-12-14,6218.92,C,False
20016,Name_20016,user20016@example.com,2022-10-29,7489.57,B,True
20017,Name_20017,user20017@example.com,2021-04-10,2051.07,D,True
20018,Name_20018,user20018@example.com,2025-01-02,3334.7,B,True
20019,Name_20019,user20019@example.com,2019-09-03,8788.52,B,True
20020,Name_20020,user20020@example.com,2020-01-07,6974.85,E,True
20021,Name_20021,user20021@example.com,2018-05-28,8333.94,A,True
20022,Name_20022,user20022@example.com,2019-07-12,6444.7,B,True
20023,Name_20023,user20023@example.com,2021-11-30,8657.71,D,True
20024,Name_20024,user20024@example.com,2022-09-25,945.39,B,False
20025,Name_20025,user20025@example.com,2018-02-22,6876.68,A,False
20026,Name_20026,user20026@example.com,2019-11-24,3673.15,B,True
20027,Name_20027,user20027@example.com,2024-05-21,6387.53,D,True
20028,Name_20028,user20028@example.com,2022-07-05,5701.48,C,False
20029,Name_20029,user20029@example.com,2021-09-03,429.78,D,True
20030,Name_20030,user20030@example.com,2025-01-28,7787.78,E,True
20031,Name_20031,user20031@example.com,2018-08-17,1571.73,B,True
20032,Name_20032,user20032@example.com,2023-05-31,2460.04,B,True
20033,Name_20033,user20033@example.com,2025-10-26,5869.6,B,True
20034,Name_20034,user20034@example.com,2021-07-30,7719.48,D,False
20035,Name_20035,user20035@example.com,2023-11-27,7174.45,D,False
20036,Name_20036,user20036@example.com,2025-10-31,5619.9,B,True
20037,Name_20037,user20037@example.com,2022-01-17,6908.37,D,True
20038,Name_20038,user20038@example.com,2018-04-01,5562.64,C,True
20039,Name_20039,user20039@example.com,2024-01-10,4309.0,B,False
20040,Name_20040,user20040@example.com,2023-07-14,1209.37,A,True
20041,Name_20041,user20041@example.com,2020-11-12,269.34,D,True
20042,Name_20042,user20042@example.com,2024-03-25,356.26,B,True
20043,Name_20043,user20043@example.com,2024-01-22,8636.58,C,False
20044,Name_20044,user20044@example.com,2023-08-29,9766.86,A,True
20045,Name_20045,user20045@example.com,2023-10-27,6878.98,C,False
20046,Name_20046,user20046@example.com,2022-06-08,1039.64,C,True
20047,Name_20047,user20047@example.com,2023-04-23,6654.11,C,True
